Name,Latitude,Longitude,Altitude,Dist,AvgSpd,Description,Icon,IconScale,IconAltitude,IconHeading,	IconColor,	LineStringColor,HideNameUntilMouseOver
75 place du Docteur-Félix-Lobligeois , 48.8867832 , 2.3174727 , 0 , 0 , 0 , NO.85<br/>75 place du Docteur-Félix-Lobligeois<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
3 place de Lévis , 48.883425 , 2.3133443 , 0 , 0 , 0 , NO.86<br/>3 place de Lévis<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
13 avenue Nielresized_imagerue Bayen , 48.879815 , 2.2946595 , 0 , 0 , 0 , NO.87<br/>13 avenue Nielresized_imagerue Bayen<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Richard-Baret , 48.8844724 , 2.3214773 , 0 , 0 , 0 , NO.88<br/>Place Richard-Baret<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Tristan-Bernard , 48.8794183 , 2.2911946 , 0 , 0 , 0 , NO.89<br/>Place Tristan-Bernard<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
112 avenue de Villiersresized_imageplace du Maréchal-Juin , 48.8848286 , 2.2981665 , 0 , 0 , 0 , NO.90<br/>112 avenue de Villiersresized_imageplace du Maréchal-Juin<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place des Abbesses , 48.8844961 , 2.3381406 , 0 , 0 , 0 , NO.91<br/>Place des Abbesses<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place du Château-Rouge , 48.8872913 , 2.3493292 , 0 , 0 , 0 , NO.92<br/>Place du Château-Rouge<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Émile-Goudeau , 48.8860003 , 2.3379474 , 0 , 0 , 0 , NO.93<br/>Place Émile-Goudeau<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue de la Goutte-d'Orresized_imagerue de Chartres , 48.884927 , 2.3525804 , 0 , 0 , 0 , NO.94<br/>Rue de la Goutte-d'Orresized_imagerue de Chartres<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
42 boulevard de Rochechouartresized_imagesur le terre-plein central , 48.883282 , 2.346434 , 0 , 0 , 0 , NO.95<br/>42 boulevard de Rochechouartresized_imagesur le terre-plein central<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue Saint-Éleuthèreresized_imagerue Azaïs , 48.8859435 , 2.3414431 , 0 , 0 , 0 , NO.96<br/>Rue Saint-Éleuthèreresized_imagerue Azaïs<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
3 rue Lally-Tollendalresized_imagerue de Meauxresized_imagerue Armand-Carrel , 48.882776 , 2.374798 , 0 , 0 , 0 , NO.97<br/>3 rue Lally-Tollendalresized_imagerue de Meauxresized_imagerue Armand-Carrel<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
1 rue Maninresized_image51 Avenue Simon-Bolivar , 48.876431 , 2.379315 , 0 , 0 , 0 , NO.98<br/>1 rue Maninresized_image51 Avenue Simon-Bolivar<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
